reviewId,rating,comment,createdAt,isVerified,helpfulVotes,sentiment
REV00061,4,"Excelente producto, lo recomiendo totalmente.",2024-09-06,false,18,positive
REV00062,5,Rápida entrega y producto tal como se describe.,2021-11-05,false,151,positive
REV00063,4,"Superó mis expectativas, volveré a comprar.",2025-11-06,true,138,positive
REV00064,4,"Excelente producto, lo recomiendo totalmente.",2025-01-11,true,125,positive
REV00065,4,"Excelente producto, lo recomiendo totalmente.",2023-10-05,true,161,positive
REV00066,4,"Funciona perfecto, estoy muy contento con la compra.",2022-07-17,true,88,positive
REV00067,5,Increíble relación calidad-precio.,2022-02-22,false,225,positive
REV00068,4,"Funciona perfecto, estoy muy contento con la compra.",2024-01-25,true,250,positive
REV00069,5,"Muy buena calidad, llegó en perfectas condiciones.",2025-10-30,true,147,positive
REV00070,5,"Superó mis expectativas, volveré a comprar.",2021-12-19,true,26,positive
REV00071,5,"Producto de primera calidad, muy satisfecho.",2024-07-14,false,64,positive
REV00072,3,"Cumple su función básica, nada extraordinario.",2022-10-13,true,19,neutral
REV00073,3,"Cumple su función básica, nada extraordinario.",2023-04-12,false,112,neutral
REV00074,2,"Producto defectuoso, tuve que devolverlo.",2024-05-30,true,216,negative
REV00075,2,Tardó demasiado en llegar y el empaque estaba dañado.,2023-04-20,false,36,negative
REV00076,5,Increíble relación calidad-precio.,2021-02-07,true,208,positive
REV00077,2,"El producto llegó con golpes, decepcionante.",2021-06-30,true,181,negative
REV00078,4,"Excelente producto, lo recomiendo totalmente.",2020-03-22,false,238,positive
REV00079,4,Rápida entrega y producto tal como se describe.,2020-11-24,true,36,positive
REV00080,3,Producto aceptable para el precio.,2023-01-29,false,99,neutral
REV00081,5,Rápida entrega y producto tal como se describe.,2023-07-30,true,156,positive
REV00082,4,"Muy buena calidad, llegó en perfectas condiciones.",2023-02-05,true,123,positive
REV00083,2,Tardó demasiado en llegar y el empaque estaba dañado.,2025-12-16,false,110,negative
REV00084,5,"Producto de primera calidad, muy satisfecho.",2024-12-14,false,95,positive
REV00085,5,"Producto de primera calidad, muy satisfecho.",2025-03-11,true,45,positive
REV00086,2,"Producto defectuoso, tuve que devolverlo.",2020-12-19,true,97,negative
REV00087,5,"Producto de primera calidad, muy satisfecho.",2025-06-27,false,2,positive
REV00088,1,"El producto llegó con golpes, decepcionante.",2024-10-02,true,188,negative
REV00089,3,"Regular, esperaba un poco más.",2025-09-02,true,242,neutral
REV00090,3,Producto aceptable para el precio.,2025-07-28,false,163,neutral
REV00091,5,"Producto de primera calidad, muy satisfecho.",2023-10-26,false,78,positive
REV00092,5,"Excelente producto, lo recomiendo totalmente.",2024-08-25,false,165,positive
REV00093,5,"Funciona perfecto, estoy muy contento con la compra.",2025-09-24,true,178,positive
REV00094,3,"Cumple su función básica, nada extraordinario.",2020-02-01,true,184,neutral
REV00095,5,"Muy buena calidad, llegó en perfectas condiciones.",2024-07-07,false,120,positive
REV00096,1,"El producto llegó con golpes, decepcionante.",2024-03-04,false,202,negative
REV00097,4,"Superó mis expectativas, volveré a comprar.",2025-06-05,false,177,positive
REV00098,5,"Superó mis expectativas, volveré a comprar.",2021-08-10,true,191,positive
REV00099,5,"Superó mis expectativas, volveré a comprar.",2025-08-31,true,56,positive
REV00100,2,"El producto llegó con golpes, decepcionante.",2024-02-27,true,66,negative
REV00101,2,"El producto llegó con golpes, decepcionante.",2023-06-07,true,177,negative
REV00102,5,Increíble relación calidad-precio.,2023-02-25,true,94,positive
REV00103,5,Increíble relación calidad-precio.,2022-08-09,true,73,positive
REV00104,5,"Muy buena calidad, llegó en perfectas condiciones.",2024-09-24,true,37,positive
REV00105,5,"Superó mis expectativas, volveré a comprar.",2024-10-21,true,51,positive
REV00106,5,"Muy buena calidad, llegó en perfectas condiciones.",2020-08-31,true,246,positive
REV00107,2,"No cumplió mis expectativas, calidad regular.",2023-07-18,false,197,negative
REV00108,5,Rápida entrega y producto tal como se describe.,2023-01-22,true,161,positive
REV00109,4,Rápida entrega y producto tal como se describe.,2024-05-12,false,122,positive
REV00110,5,Increíble relación calidad-precio.,2022-04-11,true,129,positive
REV00111,3,"Cumple su función básica, nada extraordinario.",2024-10-25,false,131,neutral
REV00112,3,Está bien para el uso cotidiano.,2025-12-08,true,88,neutral
REV00113,4,"Producto de primera calidad, muy satisfecho.",2024-11-11,false,26,positive
REV00114,5,"Producto de primera calidad, muy satisfecho.",2021-08-04,true,85,positive
REV00115,1,"Producto defectuoso, tuve que devolverlo.",2022-08-23,true,139,negative
REV00116,5,"Muy buena calidad, llegó en perfectas condiciones.",2021-06-29,true,148,positive
REV00117,5,"Excelente producto, lo recomiendo totalmente.",2022-11-13,false,103,positive
REV00118,1,"El producto llegó con golpes, decepcionante.",2021-12-23,false,232,negative
REV00119,5,Rápida entrega y producto tal como se describe.,2020-08-23,false,101,positive
REV00120,4,Increíble relación calidad-precio.,2024-11-12,true,136,positive
REV00121,2,"No cumplió mis expectativas, calidad regular.",2024-12-08,true,189,negative
REV00122,5,"Funciona perfecto, estoy muy contento con la compra.",2024-12-20,false,182,positive
REV00123,3,Está bien para el uso cotidiano.,2020-10-03,false,11,neutral
REV00124,4,Rápida entrega y producto tal como se describe.,2024-10-28,false,243,positive
REV00125,5,Rápida entrega y producto tal como se describe.,2020-05-15,true,55,positive
REV00126,5,"Superó mis expectativas, volveré a comprar.",2024-10-04,true,249,positive
REV00127,3,Está bien para el uso cotidiano.,2022-08-22,true,38,neutral
REV00128,3,Está bien para el uso cotidiano.,2024-05-14,true,27,neutral
REV00129,4,"Superó mis expectativas, volveré a comprar.",2024-08-01,true,20,positive
REV00130,3,"Regular, esperaba un poco más.",2022-09-02,true,248,neutral
REV00131,4,"Superó mis expectativas, volveré a comprar.",2022-04-15,false,140,positive
REV00132,4,"Funciona perfecto, estoy muy contento con la compra.",2025-11-13,true,8,positive
REV00133,1,"El producto llegó con golpes, decepcionante.",2023-05-09,true,130,negative
REV00134,5,Increíble relación calidad-precio.,2020-02-03,true,148,positive
REV00135,5,Rápida entrega y producto tal como se describe.,2024-11-11,false,238,positive
REV00136,5,"Muy buena calidad, llegó en perfectas condiciones.",2023-07-06,false,4,positive
REV00137,5,"Excelente producto, lo recomiendo totalmente.",2020-04-27,true,128,positive
REV00138,5,Increíble relación calidad-precio.,2025-06-20,true,69,positive
REV00139,3,"Regular, esperaba un poco más.",2024-04-12,true,158,neutral
REV00140,4,"Excelente producto, lo recomiendo totalmente.",2025-06-19,true,184,positive
REV00141,5,Rápida entrega y producto tal como se describe.,2025-02-12,true,38,positive
REV00142,3,Está bien para el uso cotidiano.,2020-12-12,true,239,neutral
REV00143,3,Producto aceptable para el precio.,2025-07-27,true,34,neutral
REV00144,4,"Superó mis expectativas, volveré a comprar.",2024-09-14,false,120,positive
REV00145,5,Increíble relación calidad-precio.,2022-09-23,false,177,positive
REV00146,1,"No corresponde a la descripción, poca calidad.",2024-01-07,true,222,negative
REV00147,4,Increíble relación calidad-precio.,2020-02-10,true,238,positive
REV00148,4,"Funciona perfecto, estoy muy contento con la compra.",2020-06-02,true,87,positive
REV00149,5,"Excelente producto, lo recomiendo totalmente.",2020-11-27,true,93,positive
REV00150,4,"Superó mis expectativas, volveré a comprar.",2021-10-04,true,221,positive
REV00151,3,"Regular, esperaba un poco más.",2023-10-19,true,54,neutral
REV00152,3,Producto aceptable para el precio.,2023-06-20,true,196,neutral
REV00153,2,"Producto defectuoso, tuve que devolverlo.",2024-03-10,false,21,negative
REV00154,5,"Producto de primera calidad, muy satisfecho.",2022-03-26,true,240,positive
REV00155,2,"Producto defectuoso, tuve que devolverlo.",2024-11-12,false,83,negative
REV00156,5,"Excelente producto, lo recomiendo totalmente.",2023-12-01,false,168,positive
REV00157,5,"Producto de primera calidad, muy satisfecho.",2020-09-23,true,214,positive
REV00158,4,"Funciona perfecto, estoy muy contento con la compra.",2021-04-03,false,201,positive
REV00159,2,"El producto llegó con golpes, decepcionante.",2023-04-08,true,180,negative
REV00160,5,Increíble relación calidad-precio.,2025-01-31,true,6,positive
REV00161,5,Rápida entrega y producto tal como se describe.,2025-12-12,true,17,positive
REV00162,3,"Cumple su función básica, nada extraordinario.",2025-10-28,false,154,neutral
REV00163,5,Rápida entrega y producto tal como se describe.,2025-08-31,false,246,positive
REV00164,5,"Excelente producto, lo recomiendo totalmente.",2023-03-21,true,92,positive
REV00165,3,"Regular, esperaba un poco más.",2024-04-19,true,143,neutral
REV00166,5,Increíble relación calidad-precio.,2021-01-28,true,167,positive
REV00167,4,"Superó mis expectativas, volveré a comprar.",2023-12-20,false,135,positive
REV00168,4,"Superó mis expectativas, volveré a comprar.",2020-10-05,false,249,positive
REV00169,3,Producto aceptable para el precio.,2024-10-18,true,78,neutral
REV00170,4,Rápida entrega y producto tal como se describe.,2020-07-29,false,243,positive
REV00171,4,Rápida entrega y producto tal como se describe.,2025-12-08,true,9,positive
REV00172,4,"Producto de primera calidad, muy satisfecho.",2020-04-22,false,12,positive
REV00173,5,"Producto de primera calidad, muy satisfecho.",2023-06-18,true,160,positive
REV00174,4,"Excelente producto, lo recomiendo totalmente.",2021-02-02,true,215,positive
REV00175,5,"Funciona perfecto, estoy muy contento con la compra.",2022-06-24,true,13,positive
REV00176,4,Increíble relación calidad-precio.,2024-11-07,true,216,positive
REV00177,5,"Superó mis expectativas, volveré a comprar.",2020-03-26,false,218,positive
REV00178,4,"Superó mis expectativas, volveré a comprar.",2024-10-19,true,124,positive
REV00179,4,Rápida entrega y producto tal como se describe.,2022-10-15,false,24,positive
REV00180,5,"Superó mis expectativas, volveré a comprar.",2022-07-13,true,38,positive
REV00181,5,"Funciona perfecto, estoy muy contento con la compra.",2022-02-20,true,222,positive
REV00182,3,Está bien para el uso cotidiano.,2021-05-25,true,35,neutral
REV00183,4,"Funciona perfecto, estoy muy contento con la compra.",2020-10-18,true,47,positive
REV00184,3,"Cumple su función básica, nada extraordinario.",2021-02-16,true,208,neutral
REV00185,5,"Excelente producto, lo recomiendo totalmente.",2024-09-02,false,34,positive
REV00186,3,Está bien para el uso cotidiano.,2021-03-22,true,242,neutral
REV00187,5,"Muy buena calidad, llegó en perfectas condiciones.",2022-09-23,true,67,positive
REV00188,4,"Muy buena calidad, llegó en perfectas condiciones.",2025-12-27,true,53,positive
REV00189,4,"Muy buena calidad, llegó en perfectas condiciones.",2025-10-10,true,67,positive
REV00190,5,"Funciona perfecto, estoy muy contento con la compra.",2023-08-03,true,246,positive
REV00191,5,Rápida entrega y producto tal como se describe.,2025-12-16,true,191,positive
REV00192,5,"Superó mis expectativas, volveré a comprar.",2020-05-08,true,183,positive
REV00193,4,Rápida entrega y producto tal como se describe.,2023-12-03,false,192,positive
REV00194,3,Producto aceptable para el precio.,2024-03-05,true,233,neutral
REV00195,2,"No corresponde a la descripción, poca calidad.",2023-09-26,true,138,negative
REV00196,2,"No cumplió mis expectativas, calidad regular.",2023-01-26,false,237,negative
REV00197,5,"Excelente producto, lo recomiendo totalmente.",2025-10-29,true,88,positive
REV00198,5,"Funciona perfecto, estoy muy contento con la compra.",2023-04-23,true,109,positive
REV00199,4,Rápida entrega y producto tal como se describe.,2023-10-29,true,28,positive
REV00200,4,"Excelente producto, lo recomiendo totalmente.",2024-01-28,true,215,positive
REV00201,3,Está bien para el uso cotidiano.,2024-01-22,true,219,neutral
REV00202,5,Increíble relación calidad-precio.,2024-06-22,true,127,positive
REV00203,5,"Producto de primera calidad, muy satisfecho.",2024-01-16,false,158,positive
REV00204,5,Rápida entrega y producto tal como se describe.,2021-11-21,false,58,positive
REV00205,3,"Cumple su función básica, nada extraordinario.",2021-02-22,true,46,neutral
REV00206,3,Está bien para el uso cotidiano.,2023-06-22,false,165,neutral
REV00207,2,Tardó demasiado en llegar y el empaque estaba dañado.,2024-04-25,true,140,negative
REV00208,4,"Producto de primera calidad, muy satisfecho.",2023-10-04,false,240,positive
REV00209,2,"No corresponde a la descripción, poca calidad.",2020-12-21,false,92,negative
REV00210,2,"El producto llegó con golpes, decepcionante.",2022-03-17,true,110,negative
REV00211,2,"No cumplió mis expectativas, calidad regular.",2021-11-02,true,129,negative
REV00212,4,"Muy buena calidad, llegó en perfectas condiciones.",2025-02-11,false,201,positive
REV00213,3,"Cumple su función básica, nada extraordinario.",2021-03-27,true,195,neutral
REV00214,4,Rápida entrega y producto tal como se describe.,2021-10-19,true,88,positive
REV00215,4,"Superó mis expectativas, volveré a comprar.",2023-01-24,false,50,positive
REV00216,2,"No corresponde a la descripción, poca calidad.",2025-07-22,true,3,negative
REV00217,4,"Superó mis expectativas, volveré a comprar.",2020-04-23,true,49,positive
REV00218,5,"Muy buena calidad, llegó en perfectas condiciones.",2024-09-15,true,190,positive
REV00219,4,"Producto de primera calidad, muy satisfecho.",2025-06-09,false,146,positive
REV00220,5,"Excelente producto, lo recomiendo totalmente.",2025-09-06,true,189,positive
REV00221,4,"Muy buena calidad, llegó en perfectas condiciones.",2020-12-19,false,9,positive
REV00222,5,"Superó mis expectativas, volveré a comprar.",2020-11-15,false,229,positive
REV00223,5,"Muy buena calidad, llegó en perfectas condiciones.",2024-02-20,true,131,positive
REV00224,5,"Muy buena calidad, llegó en perfectas condiciones.",2022-10-25,true,17,positive
REV00225,5,"Funciona perfecto, estoy muy contento con la compra.",2025-01-23,true,228,positive
REV00226,5,Increíble relación calidad-precio.,2021-04-25,true,78,positive
REV00227,4,"Muy buena calidad, llegó en perfectas condiciones.",2023-12-02,true,5,positive
REV00228,2,"No corresponde a la descripción, poca calidad.",2021-01-26,true,111,negative
REV00229,5,"Excelente producto, lo recomiendo totalmente.",2023-05-08,true,89,positive
REV00230,5,"Muy buena calidad, llegó en perfectas condiciones.",2024-10-08,false,69,positive
REV00231,1,"Producto defectuoso, tuve que devolverlo.",2022-12-30,true,161,negative
REV00232,4,"Excelente producto, lo recomiendo totalmente.",2020-01-24,true,28,positive
REV00233,4,"Producto de primera calidad, muy satisfecho.",2023-05-10,true,26,positive
REV00234,4,"Superó mis expectativas, volveré a comprar.",2024-01-11,true,136,positive
REV00235,5,Rápida entrega y producto tal como se describe.,2024-04-20,false,9,positive
REV00236,5,"Producto de primera calidad, muy satisfecho.",2024-06-02,true,185,positive
REV00237,2,"Producto defectuoso, tuve que devolverlo.",2022-11-19,true,229,negative
REV00238,4,"Excelente producto, lo recomiendo totalmente.",2023-06-27,false,35,positive
REV00239,5,Increíble relación calidad-precio.,2020-04-05,false,154,positive
REV00240,1,"No cumplió mis expectativas, calidad regular.",2024-04-26,true,64,negative
REV00241,4,"Muy buena calidad, llegó en perfectas condiciones.",2020-01-29,true,171,positive
REV00242,1,"No corresponde a la descripción, poca calidad.",2021-05-24,false,156,negative
REV00243,5,Rápida entrega y producto tal como se describe.,2025-05-17,true,54,positive
REV00244,2,"El producto llegó con golpes, decepcionante.",2024-03-26,true,182,negative
REV00245,5,"Funciona perfecto, estoy muy contento con la compra.",2021-11-12,true,200,positive
REV00246,4,"Funciona perfecto, estoy muy contento con la compra.",2023-08-20,true,67,positive
REV00247,5,"Muy buena calidad, llegó en perfectas condiciones.",2020-07-02,true,149,positive
REV00248,1,Tardó demasiado en llegar y el empaque estaba dañado.,2022-05-13,true,215,negative
REV00249,3,Está bien para el uso cotidiano.,2022-12-01,false,52,neutral
REV00250,2,"No corresponde a la descripción, poca calidad.",2025-04-01,true,196,negative
REV00251,4,"Superó mis expectativas, volveré a comprar.",2023-11-21,false,150,positive
REV00252,4,"Muy buena calidad, llegó en perfectas condiciones.",2024-04-04,true,183,positive
REV00253,1,"Producto defectuoso, tuve que devolverlo.",2025-02-20,true,119,negative
REV00254,3,Producto aceptable para el precio.,2021-01-02,true,167,neutral
REV00255,5,"Excelente producto, lo recomiendo totalmente.",2021-01-08,true,155,positive
REV00256,5,"Excelente producto, lo recomiendo totalmente.",2024-11-13,true,107,positive
REV00257,4,"Excelente producto, lo recomiendo totalmente.",2024-01-17,true,226,positive
REV00258,5,"Producto de primera calidad, muy satisfecho.",2024-08-17,true,138,positive
REV00259,5,Rápida entrega y producto tal como se describe.,2021-11-16,true,133,positive
REV00260,3,"Regular, esperaba un poco más.",2022-02-07,false,165,neutral
REV00261,5,Rápida entrega y producto tal como se describe.,2021-11-15,true,83,positive
REV00262,2,Tardó demasiado en llegar y el empaque estaba dañado.,2023-08-12,true,152,negative
REV00263,3,Está bien para el uso cotidiano.,2024-06-18,true,80,neutral
REV00264,2,"Producto defectuoso, tuve que devolverlo.",2023-09-26,true,51,negative
REV00265,4,"Producto de primera calidad, muy satisfecho.",2024-09-30,true,197,positive
REV00266,4,"Muy buena calidad, llegó en perfectas condiciones.",2020-11-16,true,32,positive
REV00267,5,"Muy buena calidad, llegó en perfectas condiciones.",2025-10-13,true,91,positive
REV00268,5,Increíble relación calidad-precio.,2022-01-01,true,77,positive
REV00269,4,Rápida entrega y producto tal como se describe.,2023-03-27,false,198,positive
REV00270,5,"Funciona perfecto, estoy muy contento con la compra.",2025-09-05,false,182,positive
REV00271,5,Rápida entrega y producto tal como se describe.,2022-03-31,false,177,positive
REV00272,2,"El producto llegó con golpes, decepcionante.",2022-05-31,true,159,negative
REV00273,5,"Superó mis expectativas, volveré a comprar.",2023-10-23,true,246,positive
REV00274,2,"No cumplió mis expectativas, calidad regular.",2023-03-19,true,107,negative
REV00275,5,"Excelente producto, lo recomiendo totalmente.",2021-09-13,false,65,positive
REV00276,4,"Superó mis expectativas, volveré a comprar.",2024-08-27,true,4,positive
REV00277,4,Increíble relación calidad-precio.,2022-05-23,true,41,positive
REV00278,3,Producto aceptable para el precio.,2022-05-08,false,86,neutral
REV00279,5,"Excelente producto, lo recomiendo totalmente.",2024-09-06,false,131,positive
REV00280,3,"Cumple su función básica, nada extraordinario.",2023-12-25,true,25,neutral
REV00281,3,"Cumple su función básica, nada extraordinario.",2022-08-02,false,34,neutral
REV00282,4,Increíble relación calidad-precio.,2023-04-23,true,81,positive
REV00283,3,Está bien para el uso cotidiano.,2020-05-28,true,82,neutral
REV00284,2,"Producto defectuoso, tuve que devolverlo.",2024-12-09,true,140,negative
REV00285,4,"Excelente producto, lo recomiendo totalmente.",2021-05-25,false,90,positive
REV00286,5,"Excelente producto, lo recomiendo totalmente.",2024-09-27,false,76,positive
REV00287,3,"Cumple su función básica, nada extraordinario.",2024-05-29,true,86,neutral
REV00288,4,"Superó mis expectativas, volveré a comprar.",2020-06-15,true,49,positive
REV00289,5,"Funciona perfecto, estoy muy contento con la compra.",2022-02-10,true,8,positive
REV00290,5,"Funciona perfecto, estoy muy contento con la compra.",2020-12-05,false,116,positive
REV00291,3,"Cumple su función básica, nada extraordinario.",2021-02-14,true,75,neutral
REV00292,4,"Muy buena calidad, llegó en perfectas condiciones.",2025-04-06,true,163,positive
REV00293,5,Increíble relación calidad-precio.,2022-01-16,true,84,positive
REV00294,4,"Excelente producto, lo recomiendo totalmente.",2022-08-11,true,159,positive
REV00295,5,Rápida entrega y producto tal como se describe.,2025-09-15,false,250,positive
REV00296,2,"No corresponde a la descripción, poca calidad.",2024-11-23,true,240,negative
REV00297,4,"Producto de primera calidad, muy satisfecho.",2022-06-09,false,134,positive
REV00298,5,Rápida entrega y producto tal como se describe.,2023-04-04,false,248,positive
REV00299,5,Increíble relación calidad-precio.,2024-05-11,true,44,positive
REV00300,3,Producto aceptable para el precio.,2020-02-05,true,36,neutral
REV00301,4,"Superó mis expectativas, volveré a comprar.",2025-07-18,true,133,positive
REV00302,5,"Muy buena calidad, llegó en perfectas condiciones.",2023-09-26,true,51,positive
REV00303,3,Está bien para el uso cotidiano.,2025-08-29,false,154,neutral
REV00304,4,"Producto de primera calidad, muy satisfecho.",2025-12-23,true,208,positive
REV00305,4,Increíble relación calidad-precio.,2020-10-12,true,98,positive
REV00306,3,Producto aceptable para el precio.,2024-07-17,true,220,neutral
REV00307,5,"Excelente producto, lo recomiendo totalmente.",2022-11-02,true,52,positive
REV00308,5,"Producto de primera calidad, muy satisfecho.",2023-04-03,false,51,positive
REV00309,2,"No corresponde a la descripción, poca calidad.",2025-07-21,true,169,negative
REV00310,1,"El producto llegó con golpes, decepcionante.",2021-08-12,true,84,negative
REV00311,4,"Excelente producto, lo recomiendo totalmente.",2023-09-16,false,98,positive
REV00312,5,Rápida entrega y producto tal como se describe.,2025-11-05,true,52,positive
REV00313,3,"Cumple su función básica, nada extraordinario.",2022-12-08,false,70,neutral
REV00314,5,"Muy buena calidad, llegó en perfectas condiciones.",2023-11-16,false,222,positive
REV00315,5,Rápida entrega y producto tal como se describe.,2024-10-03,true,164,positive
REV00316,5,"Excelente producto, lo recomiendo totalmente.",2021-03-16,false,11,positive
REV00317,5,"Excelente producto, lo recomiendo totalmente.",2021-04-17,true,31,positive
REV00318,5,"Superó mis expectativas, volveré a comprar.",2020-01-09,true,201,positive
REV00319,2,"No corresponde a la descripción, poca calidad.",2020-11-20,false,61,negative
REV00320,5,"Producto de primera calidad, muy satisfecho.",2021-10-23,false,176,positive
REV00321,4,"Muy buena calidad, llegó en perfectas condiciones.",2020-10-22,true,43,positive
REV00322,5,"Superó mis expectativas, volveré a comprar.",2023-08-04,false,68,positive
REV00323,5,Increíble relación calidad-precio.,2023-03-14,true,54,positive
REV00324,5,Increíble relación calidad-precio.,2023-03-30,true,64,positive
REV00325,1,"No cumplió mis expectativas, calidad regular.",2023-02-06,true,94,negative
REV00326,5,Rápida entrega y producto tal como se describe.,2024-06-27,false,166,positive
REV00327,4,Increíble relación calidad-precio.,2024-11-06,false,219,positive
REV00328,3,Producto aceptable para el precio.,2021-02-22,true,39,neutral
REV00329,4,"Funciona perfecto, estoy muy contento con la compra.",2021-05-18,true,226,positive
REV00330,3,Producto aceptable para el precio.,2020-01-07,true,2,neutral
REV00331,5,"Funciona perfecto, estoy muy contento con la compra.",2020-03-03,false,111,positive
REV00332,5,"Superó mis expectativas, volveré a comprar.",2023-07-27,false,19,positive
REV00333,2,"No corresponde a la descripción, poca calidad.",2022-08-23,true,112,negative
REV00334,2,"No corresponde a la descripción, poca calidad.",2025-08-05,false,121,negative
REV00335,1,Tardó demasiado en llegar y el empaque estaba dañado.,2022-08-23,true,195,negative
REV00336,4,"Superó mis expectativas, volveré a comprar.",2022-01-07,true,50,positive
REV00337,4,"Producto de primera calidad, muy satisfecho.",2021-04-15,true,58,positive
REV00338,3,Producto aceptable para el precio.,2022-02-02,true,243,neutral
REV00339,4,"Funciona perfecto, estoy muy contento con la compra.",2024-12-27,true,234,positive
REV00340,5,"Muy buena calidad, llegó en perfectas condiciones.",2021-02-15,true,23,positive
REV00341,5,Rápida entrega y producto tal como se describe.,2023-04-05,false,192,positive
REV00342,5,"Superó mis expectativas, volveré a comprar.",2024-08-15,false,110,positive
REV00343,3,"Regular, esperaba un poco más.",2020-03-13,false,225,neutral
REV00344,5,"Excelente producto, lo recomiendo totalmente.",2023-06-28,false,145,positive
